Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
2006-08-18,SL Malinga,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,India,Colombo (SSC)
2006-08-18,ST Jayasuriya,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,India,Colombo (SSC)
2006-08-18,WU Tharanga,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,India,Colombo (SSC)
2006-08-18,KC Sangakkara,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,India,Colombo (SSC)
2006-08-18,DPMD Jayawardene,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,India,Colombo (SSC)
2006-08-18,CK Kapugedera,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,India,Colombo (SSC)
2006-08-18,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,India,Colombo (SSC)
2006-08-18,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,India,Colombo (SSC)
2006-08-18,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,India,Colombo (SSC)
2006-08-18,TM Dilshan,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,India,Colombo (SSC)
2006-08-18,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,India,Colombo (SSC)
2006-10-07,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Bangladesh,Mohali
2006-10-10,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Zimbabwe,Ahmedabad
2006-10-10,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Zimbabwe,Ahmedabad
2006-10-14,KC Sangakkara,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Brabourne
2006-10-14,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Brabourne
2006-10-14,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Brabourne
2006-10-14,MS Atapattu,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Brabourne
2006-10-14,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Brabourne
2006-10-14,TM Dilshan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Brabourne
2006-10-14,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Brabourne
2006-10-14,SL Malinga,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Brabourne
2006-10-20,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Brabourne
2006-10-20,SL Malinga,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Brabourne
2006-10-20,TM Dilshan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Brabourne
2006-10-20,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Brabourne
2006-10-20,CK Kapugedera,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Brabourne
2006-10-20,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Brabourne
2006-12-28,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Napier
2006-12-28,SL Malinga,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Napier
2006-12-28,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Napier
2006-12-28,LPC Silva,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Napier
2006-12-28,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Napier
2006-12-28,TM Dilshan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,New Zealand,Napier
2006-12-31,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,New Zealand,Queenstown
2006-12-31,SL Malinga,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,New Zealand,Queenstown
2007-01-06,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,New Zealand,Auckland
